"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_rare_shape_loops","comprehension_visits","rt","view_history","shapes","occluder","options","response","rare_option","RT","confidence","confidence_RT","question_order"
"","","","","","jsShapes","3","52219","0.0-3.0-0.0","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[0,1]","right","[1,2]","0","false","9369.099999904633","0","3834.2999999523163",""
"","","","","","jsShapes","4","58752","0.0-3.0-0.1","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[4,4]","left","[2,0]","1","false","4270.299999952316","0","2251.2000000476837",""
"","","","","","jsShapes","5","68402","0.0-3.0-0.2","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[0,1]","left","[0,4]","0","false","8371.599999904633","1","1262",""
"","","","","","jsShapes","6","73102","0.0-3.0-0.3","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[4,4]","right","[1,0]","0","false","3690.2000000476837","0","993.2999999523163",""
"","","","","","jsShapes","7","83452","0.0-3.0-0.4","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[3,2]","left","[0,1]","0","false","9031.399999856949","0.15111111111111108","1315.1000001430511",""
"","","","","","jsShapes","8","93601","0.0-3.0-0.5","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[0,1]","right","[3,1]","0","false","7990.400000095367","0.0377777777777778","2150.0999999046326",""
"","","","","","jsShapes","9","96568","0.0-3.0-0.6","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[3,3]","right","[4,1]","0","false","2238","0.06666666666666665","724.2999999523163",""
"","","","","","jsShapes","10","105785","0.0-3.0-0.7","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[0,1]","left","[0,2]","1","false","7817.700000047684","0.05555555555555558","1388.2999999523163",""
"","","","","","jsShapes","11","113485","0.0-3.0-0.8","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[0,1]","right","[0,1]","1","false","6184","1","1507.7000000476837",""
"","","","","","jsShapes","12","118284","0.0-3.0-0.9","665f9ff8981f9a2e65a2cccc","5934fb0a67011200014d3a50","665fb45cd638be37ca01be7b","0","1","","","[0,1]","left","[3,0]","0","false","3934.300000190735","0","863",""
