"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"","","jsShapes","14","158551","0.0-2.0-0.12","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[0,1]","left","[0,4]","1","4366.199999809265","0.6296296296296297","1563"
"","","jsShapes","15","170184","0.0-2.0-0.13","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[3,0]","right","[0,1]","0","10133.099999904633","0.5578703703703703","1492.1000001430511"
"","","jsShapes","16","176367","0.0-2.0-0.14","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[0,1]","right","[3,1]","1","4493.100000143051","0.6550925925925926","1671.2000000476837"
"","","jsShapes","17","186367","0.0-2.0-0.15","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","[4,0]","left","[4,0]","0","5755.799999952316","0.4097222222222222","4234.100000143051"
"","3413","survey-text","18","189786","0.0-3.0","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","","","","","{""worker_comments"":""""}","","",""
"","7127","instructions","19","196913","0.0-4.0","6634029edb43a7b3766d0f53","5ab8d182e1546900019b7195","663405eab02e4c04fcfa706d","[{""page_index"":0,""viewing_time"":7126}]","","","","","","",""
"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"true","2382","fullscreen","0","3464","0.0-0.0","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","","","","","","",""
"","24825","instructions","1","28291","0.0-1.0","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","[{""page_index"":0,""viewing_time"":17421},{""page_index"":1,""viewing_time"":3503},{""page_index"":2,""viewing_time"":3901}]","","","","","","",""
"","","jsShapes","2","39335","0.0-2.0-0.0","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[3,0]","right","[2,1]","1","7437","0.042592592592592626","3596"
"","","jsShapes","3","48785","0.0-2.0-0.1","6634029edb43a7b3766d0f53","5c19da4c5ead950001bdbe86","66340680ecdd60e45f718d4b","","[0,1]","right","[4,1]","1","6847","0","2597"
