"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","STUDY_ID","PROLIFIC_PID","SESSION_ID","rt","view_history","shapes","occluder","options","response","RT","confidence","confidence_RT"
"","","","","","instructions","2","49961","0.0-2.0","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","39183","[{""page_index"":0,""viewing_time"":7578},{""page_index"":1,""viewing_time"":20657},{""page_index"":2,""viewing_time"":8036},{""page_index"":3,""viewing_time"":2010},{""page_index"":4,""viewing_time"":901}]","","","","","","",""
"","","","","","jsShapes","3","76306","0.0-3.0-0.0","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[1,0]","right","[1,0]","1","17099.39999999851","0.9270833333333334","9198.699999999255"
"","","","","","jsShapes","4","94038","0.0-3.0-0.1","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[4,4]","left","[0,3]","1","14606.89999999851","0.0078125","3111.900000002235"
"","","","","","jsShapes","5","111102","0.0-3.0-0.2","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[0,1]","left","[0,2]","0","14167.39999999851","0.48697916666666663","2883"
"","","","","","jsShapes","6","120971","0.0-3.0-0.3","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[0,1]","right","[1,3]","0","8068.60000000149","0.9817708333333334","1789.3999999985099"
"","","","","","jsShapes","7","141959","0.0-3.0-0.4","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[0,1]","right","[4,1]","1","19350.599999997765","0.9895833333333334","1621.4000000022352"
"","","","","","jsShapes","8","152764","0.0-3.0-0.5","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[2,2]","left","[4,0]","0","8661.300000000745","0","2140.5"
"","","","","","jsShapes","9","164885","0.0-3.0-0.6","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[0,1]","left","[0,3]","0","10024.10000000149","0.5026041666666667","2091.5"
"","","","","","jsShapes","10","173485","0.0-3.0-0.7","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[1,0]","right","[1,3]","1","6381.099999997765","0","2215.2000000029802"
"","","","","","jsShapes","11","181232","0.0-3.0-0.8","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[0,1]","right","[1,2]","0","5068.89999999851","1","2668.400000002235"
"","","","","","jsShapes","12","194840","0.0-3.0-0.9","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[4,3]","left","[0,2]","1","10445.400000002235","1","3147.099999997765"
"","","","","","jsShapes","13","208014","0.0-3.0-0.10","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[3,3]","right","[0,1]","0","11777.400000002235","1","1390.5999999977648"
"","","","","","jsShapes","14","218500","0.0-3.0-0.11","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[0,1]","left","[2,0]","1","8432.5","1","2048.89999999851"
"","","","","","jsShapes","15","243364","0.0-3.0-0.12","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[4,2]","left","[0,4]","1","22817","1","2041.9000000022352"
"","","","","","jsShapes","16","249373","0.0-3.0-0.13","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[0,1]","right","[1,0]","0","4824.5","1","1179.800000000745"
"","","","","","jsShapes","17","264168","0.0-3.0-0.14","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[0,1]","left","[1,0]","1","12813.89999999851","0.9739583333333334","1972.4000000022352"
"","","","","","jsShapes","18","274019","0.0-3.0-0.15","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","","","[1,3]","right","[4,1]","0","7902.800000000745","1","1937.300000000745"
"","","","","","survey-text","19","297804","0.0-4.0","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","23728","","","","","{""worker_comments"":""n/a""}","","",""
"","","","","","instructions","20","303608","0.0-5.0","665ca2f40cef08da33075320","636d39168fe0bc0570ee8da0","665ca9460bf7190c2e8bab70","5802","[{""page_index"":0,""viewing_time"":5801}]","","","","","","",""
